Source,Target,Type,Label,Weight
鄭成功,錢謙益,Directed,為Y之學生,1
鄭成功,徐孚遠,Directed,為Y之學生,1
阮常生,凌廷堪,Directed,為Y之學生,1
阮福,江藩,Directed,為Y之學生,1
張熙,阮元,Directed,為Y之學生,1
沈業富,雷鋐,Directed,為Y之學生,1
錢載,桑調元,Directed,為Y之學生,1
錢載,蔣溥,Directed,為Y之學生,1
錢大昕,江藩,Directed,為Y之學生,1
錢大昕,孫星衍,Directed,為Y之學生,1
錢大昕,沈德潛,Directed,為Y之學生,1
錢大昕,戈宙襄,Directed,為Y之學生,1
錢大昕,李賡芸,Directed,為Y之學生,1
王鳴盛,惠棟,Directed,為Y之學生,1
王鳴盛,沈德潛,Directed,為Y之學生,1
朱筠,錢維城,Directed,為Y之學生,1
朱筠,陳世倌,Directed,為Y之學生,1
朱筠,介福,Directed,為Y之學生,1
朱珪,金甡,Directed,為Y之學生,1
史積容,朱筠,Directed,為Y之學生,1
紀昀,趙大鯨,Directed,為Y之學生,1
紀昀,董邦達,Directed,為Y之學生,1
紀昀,劉綸,Directed,為Y之學生,1
紀昀,鮑梓,Directed,為Y之學生,1
紀昀,李若龍,Directed,為Y之學生,1
瞿式耜,錢謙益,Directed,為Y之學生,1
屈大均,陳邦彥,Directed,為Y之學生,1
屈大均,釋函昰,Directed,為Y之學生,1
馮桂芬,李兆洛,Directed,為Y之學生,1
馮桂芬,林則徐,Directed,為Y之學生,1
馮桂芬,李申耆,Directed,為Y之學生,1
馮桂芬,李尚之,Directed,為Y之學生,1
錢謙益,顧允成,Directed,為Y之學生,1
傅山,韓昌黎,Directed,為Y之學生,1
杭世駿,方楘如,Directed,為Y之學生,1
杭世駿,沈世楷,Directed,為Y之學生,1
徐釚,計東,Directed,為Y之學生,1
徐松,吳錫麒,Directed,為Y之學生,1
薛鳳祚,孫奇逢,Directed,為Y之學生,1
薛鳳祚,鹿善繼,Directed,為Y之學生,1
薛鳳祚,魏文魁,Directed,為Y之學生,1
黃丕烈,彭芸楣,Directed,為Y之學生,1
黃宗羲,錢謙益,Directed,為Y之學生,1
黃宗羲,劉宗周,Directed,為Y之學生,1
黃宗炎,劉宗周,Directed,為Y之學生,1
洪亮吉,朱筠,Directed,為Y之學生,1
洪亮吉,畢沅,Directed,為Y之學生,1
倪會鼎,黃道周,Directed,為Y之學生,1
顧廣圻,江聲,Directed,為Y之學生,1
程恩澤,凌廷堪,Directed,為Y之學生,1
江藩,王昶,Directed,為Y之學生,1
江藩,江聲,Directed,為Y之學生,1
江藩,余蕭客,Directed,為Y之學生,1
錢曾,錢謙益,Directed,為Y之學生,1
周中孚,孫星衍,Directed,為Y之學生,1
李塨,顏元,Directed,為Y之學生,1
李塨,毛奇齡,Directed,為Y之學生,1
李塨,郭金城,Directed,為Y之學生,1
李塨,王餘佑,Directed,為Y之學生,1
李塨,劉見田,Directed,為Y之學生,1
李塨,張而素,Directed,為Y之學生,1
李塨,汪若紀,Directed,為Y之學生,1
李塨,趙師光,Directed,為Y之學生,1
李塨,趙錫之,Directed,為Y之學生,1
李習仁,方苞,Directed,為Y之學生,1
顏元,吳持明,Directed,為Y之學生,1
顏元,吳洞霄,Directed,為Y之學生,1
顏元,賈琻,Directed,為Y之學生,1
李調元,錢陳群,Directed,為Y之學生,1
王昶,沈德潛,Directed,為Y之學生,1
王昶,王太岳,Directed,為Y之學生,1
凌廷堪,翁方綱,Directed,為Y之學生,1
盧象觀,胡爾愷,Directed,為Y之學生,1
陸隴其,陳肇昌,Directed,為Y之學生,1
盧文弨,桑調元,Directed,為Y之學生,1
毛先舒,陳子龍,Directed,為Y之學生,1
梅文鼎,倪觀湖,Directed,為Y之學生,1
梅文鼎,羅王賓,Directed,為Y之學生,1
鈕樹玉,錢大昕,Directed,為Y之學生,1
鈕樹玉,江聲,Directed,為Y之學生,1
潘耒,顧炎武,Directed,為Y之學生,1
潘耒,徐枋,Directed,為Y之學生,1
潘耒,戴笠,Directed,為Y之學生,1
潘眉,郭麐,Directed,為Y之學生,1
包世臣,鄧石如,Directed,為Y之學生,1
彭定求,湯斌,Directed,為Y之學生,1
畢沅,惠棟,Directed,為Y之學生,1
畢沅,沈德潛,Directed,為Y之學生,1
黃百家,梅文鼎,Directed,為Y之學生,1
黃百家,王徵南,Directed,為Y之學生,1
