Id,Label
鄭成功,鄭成功
阮常生,阮常生
阮福,阮福
張熙,張熙
沈業富,沈業富
錢載,錢載
錢大昕,錢大昕
王鳴盛,王鳴盛
朱筠,朱筠
朱珪,朱珪
史積容,史積容
紀昀,紀昀
瞿式耜,瞿式耜
屈大均,屈大均
馮桂芬,馮桂芬
錢謙益,錢謙益
傅山,傅山
杭世駿,杭世駿
徐釚,徐釚
徐松,徐松
薛鳳祚,薛鳳祚
黃丕烈,黃丕烈
黃宗羲,黃宗羲
黃宗炎,黃宗炎
洪亮吉,洪亮吉
倪會鼎,倪會鼎
顧廣圻,顧廣圻
程恩澤,程恩澤
江藩,江藩
錢曾,錢曾
周中孚,周中孚
李塨,李塨
李習仁,李習仁
顏元,顏元
李調元,李調元
王昶,王昶
凌廷堪,凌廷堪
盧象觀,盧象觀
陸隴其,陸隴其
盧文弨,盧文弨
毛先舒,毛先舒
梅文鼎,梅文鼎
鈕樹玉,鈕樹玉
潘耒,潘耒
潘眉,潘眉
包世臣,包世臣
彭定求,彭定求
畢沅,畢沅
黃百家,黃百家
邵曾可,邵曾可
邵廷采,邵廷采
韓菼,韓菼
萬泰,萬泰
萬斯年,萬斯年
萬斯程,萬斯程
萬斯禎,萬斯禎
萬言,萬言
萬斯昌,萬斯昌
萬斯選,萬斯選
萬斯大,萬斯大
萬經,萬經
萬斯備,萬斯備
萬斯同,萬斯同
王源,王源
趙一清,趙一清
王念孫,王念孫
孫星衍,孫星衍
張惠言,張惠言
陳壽祺,陳壽祺
臧庸,臧庸
臧禮堂,臧禮堂
閻若璩,閻若璩
桑調元,桑調元
孫奇逢,孫奇逢
湯斌,湯斌
王筠,王筠
汪輝祖,汪輝祖
王柏心,王柏心
武億,武億
姚鼐,姚鼐
李兆洛,李兆洛
吳德旋,吳德旋
吳偉業,吳偉業
劉體仁,劉體仁
施閏章,施閏章
尹會一,尹會一
譚獻,譚獻
袁昶,袁昶
陸心源,陸心源
張允滋,張允滋
金逸,金逸
袁枚,袁枚
嚴長明,嚴長明
徐昭華,徐昭華
汪廷珍,汪廷珍
林旭,林旭
愛新覺羅載淳,愛新覺羅載淳
愛新覺羅載湉,愛新覺羅載湉
林紓,林紓
梁章鉅,梁章鉅
孔廣森,孔廣森
吳汝綸,吳汝綸
廖廷相,廖廷相
宗稷辰,宗稷辰
況周頤,況周頤
毛晉,毛晉
楊芳燦,楊芳燦
嚴復,嚴復
陶澍,陶澍
郭麐,郭麐
吳嵩梁,吳嵩梁
石韞玉,石韞玉
舒位,舒位
查慎行,查慎行
陳澧,陳澧
王鵬運,王鵬運
錢維城,錢維城
翁心存,翁心存
黃幼藻,黃幼藻
林萬棟,林萬棟
吳蘭庭,吳蘭庭
吳榮光,吳榮光
席佩蘭,席佩蘭
濮文暹,濮文暹
談印蓮,談印蓮
王時敏,王時敏
謝啟昆,謝啟昆
吳慶坻,吳慶坻
王家璧,王家璧
裘曰修,裘曰修
愛新覺羅弘曆,愛新覺羅弘曆
張玉珍,張玉珍
樊增祥,樊增祥
冒襄,冒襄
嚴迢,嚴迢
侯方域,侯方域
愛新覺羅允祥,愛新覺羅允祥
胡林翼,胡林翼
王傑,王傑
曹振鏞,曹振鏞
陸燿,陸燿
黃鉞,黃鉞
顧皋,顧皋
愛新覺羅允禵,愛新覺羅允禵
鮑源深,鮑源深
楊名時,楊名時
葉酉,葉酉
王紹蘭,王紹蘭
宣永貴,宣永貴
董誥,董誥
雷鋐,雷鋐
