Source,Target,Type,Label,Weight,Person_Index_Year,Assoc_Index_Year
敖繼公,趙孟頫,Directed,學生為Y,1,,1254
包恢,陳鳳,Directed,學生為Y,1,1182,
包揚,吳倫,Directed,門人為Y,1,1152,
包揚,吳伸,Directed,門人為Y,1,1152,
包揚,鞠巖,Directed,學生為Y,1,1152,1198
蔡杭,劉逢源,Directed,學生為Y,1,1193,
蔡和,江與權,Directed,門人為Y,1,,
蔡和,黃以翼,Directed,學生為Y,1,,
蔡和,鄭思忱,Directed,學生為Y,1,,
蔡京,毛滂,Directed,門人為Y,1,1047,
蔡京,朱諤,Directed,門人為Y,1,1047,1061
蔡蒙吉,侯安國,Directed,學生為Y,1,,
蔡蒙叟,吳千仞,Directed,學生為Y,1,,968
蔡夢說,高耕,Directed,門人為Y,1,,
蔡沈,劉欽,Directed,弟子為Y,1,1167,1204
蔡希點,潘希宗,Directed,學生為Y,1,,
蔡襄,王英英,Directed,弟子為Y,1,1012,
蔡淵,熊酉,Directed,學生為Y,1,1156,
蔡淵,熊剛大,Directed,學生為Y,1,1156,1184
蔡淵,熊慶冑,Directed,學生為Y,1,1156,
蔡淵,翁泳,Directed,學生為Y,1,1156,
蔡淵,葉采,Directed,學生為Y,1,1156,1211
蔡元定,毛壽朋,Directed,門人為Y,1,1135,
蔡元定,吳雅,Directed,門人為Y,1,1135,1182
蔡元定,丘崇,Directed,門人為Y,1,1135,
蔡元定,王域,Directed,弟子為Y,1,1135,
曹涇,馬端復,Directed,學生為Y,1,1234,1252
曹涇,馬端臨,Directed,學生為Y,1,1234,1254
曹確,曹璪,Directed,學生為Y,1,1029,1077
曹確,曹璉,Directed,學生為Y,1,1029,1079
曾丰,鄧傳之,Directed,學生為Y,1,1142,
曾鳳,文天祥,Directed,學生為Y,1,,1236
曾鞏,朱軾,Directed,學生為Y,1,1019,1049
曾鞏,胡敏,Directed,學生為Y,1,1019,1018
曾鞏,張大亨,Directed,學生為Y,1,1019,1055
曾鞏,張大亨,Directed,學生為Y,1,1019,
曾鞏,劉希聲,Directed,學生為Y,1,1019,
曾鞏,劉希聲,Directed,學生為Y,1,1019,
曾鞏,劉伯聲,Directed,學生為Y,1,1019,
曾鞏,張文淑,Directed,學生為Y,1,1019,
曾幾,陸游,Directed,學生為Y,1,1084,1125
曾幾,李商叟,Directed,學生為Y,1,1084,
曾季貍,吳漸,Directed,學生為Y,1,,1124
曾肇,李撰,Directed,學生為Y,1,1047,1043
曾穜,李祐之,Directed,門人為Y,1,1120,
柴元裕,饒魯,Directed,門人為Y,1,,1193
柴元裕,湯漢,Directed,門人為Y,1,,1214
柴元裕,李伯玉,Directed,門人為Y,1,,1205
柴元裕,饒魯,Directed,學生為Y,1,,1193
柴元裕,湯漢,Directed,學生為Y,1,,1214
柴元裕,湯漢,Directed,學生為Y,1,,1214
柴元裕,李伯玉,Directed,學生為Y,1,,1205
柴元裕,張宏,Directed,學生為Y,1,,
柴中守,羅晉,Directed,學生為Y,1,1162,1196
柴中行,湯漢,Directed,學生為Y,1,1160,1214
晁補之,杜欽卨,Directed,學生為Y,1,1049,1063
晁補之,黃汝翼,Directed,學生為Y,1,1049,1055
晁公遡,師璿,Directed,弟子為Y,1,1108,
晁詠之,邵溥,Directed,學生為Y,1,1064,1085
車瑾,蔡夢說,Directed,學生為Y,1,1132,
車若水,盛象翁,Directed,學生為Y,1,,
車若水,潘希宗,Directed,學生為Y,1,,
陳淳,江與權,Directed,門人為Y,1,1159,
陳淳,李A,Directed,門人為Y,1,1159,
陳淳,卓琮,Directed,門人為Y,1,1159,
陳淳,楊昭復,Directed,學生為Y,1,1159,
陳傅良,胡大時,Directed,學生為Y,1,1137,1136
陳傅良,林子燕,Directed,學生為Y,1,1137,1169
陳傅良,袁申儒,Directed,學生為Y,1,1137,1160
陳傅良,趙希錧,Directed,學生為Y,1,1137,1176
陳傅良,胡宗,Directed,學生為Y,1,1137,1163
陳傅良,呂聲之,Directed,學生為Y,1,1137,1143
陳傅良,沈體仁,Directed,學生為Y,1,1137,1150
陳傅良,曹叔遠,Directed,學生為Y,1,1137,1160
陳傅良,黃章,Directed,學生為Y,1,1137,1166
陳傅良,林頤叔,Directed,學生為Y,1,1137,1142
陳傅良,林淵叔,Directed,學生為Y,1,1137,1144
陳傅良,朱黼,Directed,學生為Y,1,1137,1150
陳傅良,周勉,Directed,學生為Y,1,1137,
陳傅良,胡時,Directed,學生為Y,1,1137,
陳傅良,倪千里,Directed,學生為Y,1,1137,1157
陳傅良,陳巖,Directed,學生為Y,1,1137,1154
陳傅良,馮琳,Directed,學生為Y,1,1137,1150
陳傅良,馮瑜,Directed,學生為Y,1,1137,1150
陳傅良,林安之,Directed,學生為Y,1,1137,1142
陳傅良,吳琚,Directed,弟子為Y,1,1137,1154
陳傅良,呂冲之,Directed,弟子為Y,1,1137,1169
陳瓘,方伯載,Directed,門人為Y,1,1057,
陳瓘,廖剛,Directed,學生為Y,1,1057,1071
陳瓘,蔣珫,Directed,學生為Y,1,1057,1076
陳瓘,陳篆,Directed,學生為Y,1,1057,1094
陳瓘,林彖,Directed,學生為Y,1,1057,
陳瓘,林宋卿,Directed,學生為Y,1,1057,1076
陳瓘,黃沇,Directed,學生為Y,1,1057,
陳瓘,詹勉,Directed,學生為Y,1,1057,
陳瓘,蕭建功,Directed,學生為Y,1,1057,
陳景肅,楊士(仕)訓,Directed,學生為Y,1,1121,1162
陳景肅,薛京,Directed,學生為Y,1,1121,
陳駿,陳成父,Directed,門人為Y,1,1139,1169
陳立大,吳謙,Directed,學生為Y,1,,
陳櫟,朱升,Directed,學生為Y,1,1252,1299
陳亮,章湜,Directed,學生為Y,1,1143,1136
陳亮,丁希亮,Directed,學生為Y,1,1143,1146
陳亮,何堅,Directed,學生為Y,1,1143,
陳亮,章椿,Directed,學生為Y,1,1143,
陳亮,喻南強,Directed,學生為Y,1,1143,
陳亮,樓應元,Directed,學生為Y,1,1143,
陳鵬飛,秦熺,Directed,學生為Y,1,1112,1098
陳鵬飛,黃補,Directed,學生為Y,1,1112,
陳耆卿,吳子良,Directed,學生為Y,1,1180,1197
陳樵,楊君芾,Directed,弟子為Y,1,1278,
陳師道,晁冲之,Directed,學生為Y,1,1053,1075
陳師道,周子雍,Directed,學生為Y,1,1053,
陳師道,寇國寶,Directed,學生為Y,1,1053,1067
陳師道,趙䶵之,Directed,學生為Y,1,1053,
陳特,周必大,Directed,學生為Y,1,,1126
陳摶,張無夢,Directed,學生為Y,1,926,1002
陳摶,穆修,Directed,學生為Y,1,926,979
陳摶,吳景鸞,Directed,弟子為Y,1,926,
陳摶,吳克誠,Directed,弟子為Y,1,926,
陳文蔚,徐元傑,Directed,弟子為Y,1,1154,1193
陳襄,江衍,Directed,門人為Y,1,1017,1031
陳襄,孫覺,Directed,門人為Y,1,1017,1028
陳襄,傅楫,Directed,門人為Y,1,1017,1042
陳襄,陳貽範,Directed,門人為Y,1,1017,1037
陳襄,管師復,Directed,門人為Y,1,1017,1038
陳襄,管師常,Directed,門人為Y,1,1017,1040
陳襄,吳道,Directed,學生為Y,1,1017,
陳襄,呂逢時,Directed,學生為Y,1,1017,
陳易,蔡和,Directed,學生為Y,1,1166,
陳淵,沈度,Directed,學生為Y,1,1082,
陳璪,胡仲勉,Directed,門人為Y,1,,
陳藻,劉翼,Directed,門人為Y,1,,
陳藻,林鶚翁,Directed,學生為Y,1,,1211
陳藻,劉翼,Directed,學生為Y,1,,
陳藻,黃自信,Directed,學生為Y,1,,1198
陳著,趙炎,Directed,學生為Y,1,1224,1235
陳震,何基,Directed,學生為Y,1,1163,1188
陳震,楊元定,Directed,學生為Y,1,1163,1186
陳埴,車安行,Directed,學生為Y,1,,1194
陳埴,車安行,Directed,學生為Y,1,1157,1194
陳埴,翁敏之,Directed,學生為Y,1,1157,
陳埴,翁巖壽,Directed,學生為Y,1,1157,1214
陳埴,蔣世珍,Directed,學生為Y,1,1157,1229
程珌,舒撝,Directed,學生為Y,1,1164,1191
程鼎,董琦,Directed,學生為Y,1,1107,1117
程端禮,樂良,Directed,學生為Y,1,1271,
程顥,楊時,Directed,學生為Y,1,1032,1053
程顥,周純明,Directed,學生為Y,1,1032,1042
程顥,邢恕,Directed,學生為Y,1,1032,1038
程顥,王蘋,Directed,學生為Y,1,1032,1082
