Id,Label,Index_Year
權邦彥,權邦彥,1080
張鑄,張鑄,1000
張浚,張浚,1097
蔣堂,蔣堂,980
韓琦,韓琦,1008
呂公弼,呂公弼,1007
司馬光,司馬光,1019
孫覺,孫覺,1028
蔡京,蔡京,1047
王安石,王安石,1021
文彥博,文彥博,1006
楊時,楊時,1053
晏殊,晏殊,991
程頤,程頤,1033
周希孟,周希孟,
朱熹,朱熹,1130
胡安國,胡安國,1074
胡瑗,胡瑗,993
李覯,李覯,1009
樓郁,樓郁,1023
陸九臯,陸九臯,1125
陸九淵,陸九淵,1139
邵雍,邵雍,1011
史彌遠,史彌遠,1164
蘇洵,蘇洵,1009
蘇軾,蘇軾,1036
魏了翁,魏了翁,1178
尹焞,尹焞,1071
陳襄,陳襄,1017
郭忠孝,郭忠孝,1063
呂希哲,呂希哲,1048
呂祖謙,呂祖謙,1137
黃庭堅,黃庭堅,1045
陳瓘,陳瓘,1057
張栻,張栻,1133
周必大,周必大,1126
秦檜,秦檜,1090
范仲淹,范仲淹,989
李綱,李綱,1083
李光,李光,1078
孫沔,孫沔,989
蔡元定,蔡元定,1135
吳澄,吳澄,1249
宋濂,宋濂,1310
朱震亨,朱震亨,1281
真德秀,真德秀,1178
賈似道,賈似道,1213
胡銓,胡銓,1102
楊萬里,楊萬里,1127
王十朋,王十朋,1112
林光朝,林光朝,1114
何基,何基,1188
金履祥,金履祥,1232
許謙,許謙,1270
饒魯,饒魯,1193
岳珂,岳珂,1183
包揚,包揚,1152
李石,李石,1108
陳淳,陳淳,1159
林亦之,林亦之,1093
黃績,黃績,1196
汪藻,汪藻,1079
趙,趙,1187
張載,張載,1020
劉子翬,劉子翬,1101
王庭珪,王庭珪,1080
張九成,張九成,1092
林立之,林立之,1145
張行成,張行成,1102
楊簡,楊簡,1141
宋白,宋白,936
徐僑,徐僑,1160
石介,石介,1005
柳開,柳開,947
文天祥,文天祥,1236
李方子,李方子,1184
孫復,孫復,992
王應麟,王應麟,1223
陸九齡,陸九齡,1132
方岳,方岳,1199
孫時,孫時,1064
竇儼,竇儼,919
曾穜,曾穜,1120
陳藻,陳藻,
謝枋得,謝枋得,1225
柳貫,柳貫,1270
張以寧,張以寧,1301
胡斗元,胡斗元,1224
金幼孜,金幼孜,1368
吳溥,吳溥,1370
釋道潛,釋道潛,
樂雷發,樂雷發,
毌昭裔,毌昭裔,891
劉炎,劉炎,
于世封,于世封,1059
王國望,王國望,1232
王壽卿,王壽卿,1060
張子覺,張子覺,
劉若川,劉若川,1073
史清卿,史清卿,
史漸,史漸,1116
蔡和,蔡和,
朱震,朱震,1072
周弼,周弼,
釋惟清,釋惟清,
釋從諫,釋從諫,
釋智海,釋智海,1009
釋宗杲,釋宗杲,1089
杜範,杜範,1182
釋海印,釋海印,1032
